cross section (pb), uncertainty (pb)
0.0002159,2.1e-07
0.0004629,3.9e-07
0.0004449,4.9e-07
0.00064,7.5e-07
0.0009199,9.3e-07
0.001324,1.5e-06
0.001903,1.5e-06
0.002741,2.9e-06
0.005925,5e-06
0.005668,4.9e-06
0.008158,6.6e-06
0.01172,1.2e-05
0.02534,2.4e-05
0.03654,2.7e-05
0.05244,5.7e-05
0.07552,5.8e-05
0.1088,0.00012
0.1559,0.00016
0.2239,0.00036
0.3202,0.00038
