cross section (pb), uncertainty (pb)
0.006642,1.9e-05
0.009938,2.4e-05
0.006626,1.4e-05
0.006632,2e-05
0.00662,1.3e-05
0.006608,1.7e-05
0.00663,1.3e-05
0.00663,1.9e-05
0.009955,1.8e-05
0.006628,1.2e-05
0.006628,1.1e-05
0.006625,1.3e-05
0.006648,1.8e-05
0.009973,1.1e-05
0.006639,1.9e-05
0.006631,1.2e-05
0.006637,2.3e-05
0.006622,1.8e-05
0.006624,1.6e-05
0.006642,1.1e-05
