E (GeV), px (GeV), py (GeV), pz (GeV)
2.0000000000e+01,-1.8278206428e+01,+7.7005720081e+00,+1.8575875561e+00
2.0000000000e+01,-1.9387887393e+01,+2.0564495694e+00,-4.0893897581e+00
2.0000000000e+01,-9.4152637122e+00,-1.1001938129e+01,+1.3680366867e+01
2.0000000000e+01,-1.4460033535e+01,-1.3693389905e+01,-4.9068733992e-01
2.0000000000e+01,-1.6341074083e+01,-8.7642524350e-01,-1.1359729205e+01
2.0000000000e+01,+8.0895008298e+00,+1.3215108079e+01,-1.2520509806e+01
2.0000000000e+01,+4.7045621389e-01,+1.0582220607e+01,-1.6871204728e+01
2.0000000000e+01,-7.8160090391e+00,-1.0984836136e+01,+1.4665798607e+01
2.0000000000e+01,-1.3702987377e+01,-1.4087426307e+01,+3.2580405119e+00
2.0000000000e+01,+1.1453980645e+01,-1.4042800194e+00,-1.6238121690e+01
2.0000000000e+01,+4.9746395897e+00,-1.0670909102e+01,+1.6069440901e+01
2.0000000000e+01,-1.5295922868e+01,+1.2704663399e+01,+1.2118343616e+00
2.0000000000e+01,-1.5662254437e+01,+5.9117904328e+00,+1.0797536332e+01
2.0000000000e+01,-3.3665258922e+00,+1.2612669938e+01,-1.5047568955e+01
2.0000000000e+01,-4.4705462912e-01,-1.6158934679e+01,+1.1641788659e+01
2.0000000000e+01,-5.5436599133e+00,-1.6160077409e+01,-1.0245096579e+01
2.0000000000e+01,-1.0579846080e+01,-1.8276260465e+00,+1.6780015225e+01
2.0000000000e+01,+1.6306214830e+01,-8.3239613975e+00,+7.8524706668e+00
2.0000000000e+01,-1.1121758564e+00,+1.3429011395e+01,-1.4671979717e+01
2.0000000000e+01,+3.5709405818e+00,-1.9488821893e+01,+2.0679641193e+00
2.0000000000e+01,-1.3153959959e+01,+1.4636693364e+01,-3.0956123397e+00
2.0000000000e+01,+1.6434296844e+01,+6.6431578693e+00,+9.0898081255e+00
2.0000000000e+01,-1.0624435607e+01,+1.3669617623e+01,-9.8541967243e+00
2.0000000000e+01,-1.4145700516e+00,-1.3616830010e+01,+1.4471461677e+01
2.0000000000e+01,+1.7643287510e+01,+8.0175207562e+00,-4.6125955550e+00
2.0000000000e+01,+1.5001056924e+01,-6.0093550428e+00,+1.1648957641e+01
2.0000000000e+01,-6.7378526475e-01,-1.0353789612e+01,-1.7005508669e+01
2.0000000000e+01,+1.8245367172e+01,-7.2892147548e+00,+3.2887985670e+00
2.0000000000e+01,-4.0758091293e+00,-1.8822046066e+01,-5.0951577840e+00
2.0000000000e+01,-4.2092395728e-01,+1.3977851340e+01,-1.4187486244e+01
2.0000000000e+01,+1.5301025937e+01,-1.2750362790e+01,-3.8616708211e-01
2.0000000000e+01,+8.6767693046e+00,+1.0979912389e+01,+1.4177357630e+01
2.0000000000e+01,+9.9345362583e+00,-1.4181987776e+01,+9.8497960924e+00
2.0000000000e+01,-1.3592661242e+01,+2.6704711182e+00,+1.4316089388e+01
2.0000000000e+01,+1.7027723525e+01,-2.0939749077e+00,-1.0124928228e+01
2.0000000000e+01,-1.6626161152e+01,-9.8930275184e+00,-4.7477408184e+00
2.0000000000e+01,-1.6978903500e+01,+9.8996046876e+00,+3.2491435744e+00
2.0000000000e+01,+1.7891260176e+00,-1.8134640524e+01,+8.0483608376e+00
2.0000000000e+01,-1.3349164947e+00,+1.9290713097e+01,+4.7883877419e+00
2.0000000000e+01,-1.7315307221e+01,+3.5464696805e+00,+9.1893938682e+00
2.0000000000e+01,-1.7272813000e+01,+9.8632412865e+00,-1.0993968239e+00
2.0000000000e+01,-1.1510091805e+01,+1.1154300501e+01,-1.1829693063e+01
2.0000000000e+01,-1.3063191051e+01,+8.9119707080e+00,-1.2114953102e+01
2.0000000000e+01,+1.0622417714e+01,-1.0636852440e+00,+1.6818890766e+01
2.0000000000e+01,-1.5856775073e+00,-1.6556428147e+01,-1.0964149983e+01
2.0000000000e+01,-1.5358833203e+01,+6.8314760632e+00,+1.0690156614e+01
2.0000000000e+01,+1.7845377059e+01,+2.5186600097e+00,-8.4877052474e+00
2.0000000000e+01,-1.3872564968e+01,+1.2322184908e+01,-7.2496876676e+00
2.0000000000e+01,+1.9711264637e+00,+1.7532746243e+01,+9.2498508442e+00
2.0000000000e+01,-4.9556350687e+00,-1.9283296880e+01,-6.6212801006e-01
2.0000000000e+01,-3.8159993249e+00,-1.5648638633e+01,-1.1721797178e+01
2.0000000000e+01,-1.7977756538e+01,-2.5531741354e+00,-8.1929141762e+00
2.0000000000e+01,-2.0550857659e+00,+1.6460005759e+01,+1.1031187783e+01
2.0000000000e+01,+1.2805434657e+01,-1.0749304938e+01,-1.0831230658e+01
2.0000000000e+01,-3.4201081791e+00,-1.0218488071e+01,+1.6754928606e+01
2.0000000000e+01,-1.1716599008e+01,+1.0099383560e+01,-1.2552530836e+01
2.0000000000e+01,+9.3077372548e+00,-1.1167469912e+01,+1.3619688468e+01
2.0000000000e+01,-3.5169548501e+00,+1.9044290577e+01,-4.6677934822e+00
2.0000000000e+01,+1.3179012705e+01,-1.2465627477e+01,-8.2318908360e+00
2.0000000000e+01,-1.4293809538e+01,+7.3922531767e+00,-1.1742396385e+01
2.0000000000e+01,+1.1711700109e+01,+1.3302853571e+01,+9.0946378931e+00
2.0000000000e+01,+9.1572241944e+00,-6.9989564610e+00,-1.6248142186e+01
2.0000000000e+01,-1.0839937004e+01,-6.9427199370e+00,+1.5203179819e+01
2.0000000000e+01,-1.6893661981e+01,-1.0296814141e+01,+2.3285348218e+00
2.0000000000e+01,-9.9587873397e-01,+1.6593384714e+01,-1.0977708334e+01
2.0000000000e+01,+1.9365307703e+01,-4.1367587905e-02,+4.6717681129e+00
2.0000000000e+01,-1.2877082966e+01,+1.1451139779e+01,+9.9947187580e+00
2.0000000000e+01,-4.5262469491e+00,+1.9152680514e+01,+3.0871003662e+00
2.0000000000e+01,+1.6549325792e+01,-3.6416637453e+00,-1.0473794536e+01
2.0000000000e+01,+9.6810322926e+00,+1.4485297423e+01,+9.6589876956e+00
2.0000000000e+01,-1.8512458563e+01,-3.5213642903e+00,-6.4599645899e+00
2.0000000000e+01,+4.8002508805e+00,+9.8627159114e+00,+1.6629091898e+01
2.0000000000e+01,+6.4269658726e+00,+1.4410608644e+01,-1.2160211314e+01
2.0000000000e+01,-1.2849383800e+01,+6.7801874534e+00,+1.3629551169e+01
2.0000000000e+01,-1.5040131122e+01,-9.7586486745e+00,+8.6836341985e+00
2.0000000000e+01,+1.4166095070e+01,+1.2090503120e+01,-7.0699190779e+00
2.0000000000e+01,-1.2083219553e+01,+4.6210273031e+00,+1.5148735357e+01
2.0000000000e+01,-1.5698202248e+01,-7.5197937222e+00,-9.6882103375e+00
2.0000000000e+01,-1.6208364822e+01,+9.3528362477e+00,-6.8304930208e+00
2.0000000000e+01,-7.1892367132e+00,+1.3162239380e+01,+1.3111544569e+01
2.0000000000e+01,-1.7207166434e+01,+2.0516022711e+00,-9.8258140848e+00
2.0000000000e+01,-1.0639940743e+01,+6.4242495393e+00,-1.5568010465e+01
2.0000000000e+01,+3.4743737099e+00,-1.8912358497e+01,+5.2051603616e+00
2.0000000000e+01,+1.0812300177e+01,+1.0580399330e+01,-1.2961156812e+01
2.0000000000e+01,-1.9308529454e+01,-4.6142537356e+00,+1.6527624688e+00
2.0000000000e+01,+6.5923828116e+00,-9.7678116255e+00,+1.6061525952e+01
2.0000000000e+01,+3.4888445787e+00,-1.9469642334e+01,-2.3671210103e+00
2.0000000000e+01,+1.0844305309e+01,+1.6705062766e+01,+4.2917521195e-01
2.0000000000e+01,+6.8751791172e+00,+1.8260246351e+01,-4.0171614756e+00
2.0000000000e+01,-1.2820472135e+01,-3.5259991831e+00,-1.4833917048e+01
2.0000000000e+01,+1.4060260831e+00,+1.3316381197e+01,+1.4749215351e+01
2.0000000000e+01,+6.9791961784e+00,+1.6949551779e+01,+7.8003709016e+00
2.0000000000e+01,+1.9097254492e+01,+5.6511465281e+00,-4.4909327333e-01
2.0000000000e+01,+8.6140933408e+00,-1.7346036934e+01,-4.6641901320e+00
2.0000000000e+01,+2.2870514974e+00,-1.9789148408e+01,+3.5661109915e-02
2.0000000000e+01,+1.7017984327e+01,+2.8921194478e+00,-9.9431446514e+00
2.0000000000e+01,-1.4672948767e+01,-1.2435558379e+01,-5.1868808826e+00
2.0000000000e+01,-7.7853273583e+00,+1.4324299763e+01,-1.1447505633e+01
2.0000000000e+01,-1.3207341850e+01,+5.2804808283e+00,+1.3947218880e+01
2.0000000000e+01,-1.1725023664e+01,+2.2222402992e+00,-1.5950791176e+01
2.0000000000e+01,-1.5092506905e+01,-9.3410152589e+00,+9.0445530717e+00
2.0000000000e+01,-9.7367293915e+00,-9.7304440963e+00,-1.4399889911e+01
2.0000000000e+01,+6.9886186248e+00,-1.7534201313e+01,-6.3681445521e+00
2.0000000000e+01,-1.4357315806e+01,+1.0102966264e+01,-9.4148726231e+00
2.0000000000e+01,+1.3928396630e+01,+5.4675149369e+00,+1.3150981664e+01
2.0000000000e+01,+1.0650507648e-02,+1.4105168309e+01,+1.4067209551e+01
2.0000000000e+01,+1.4993515017e+00,-1.9550517963e+01,+3.5173091184e+00
2.0000000000e+01,-1.2392919849e+01,-1.3928664107e+01,-7.0178433157e+00
2.0000000000e+01,-1.1332336348e+01,-1.6037832834e+01,-3.3478861812e+00
2.0000000000e+01,-8.6573596983e+00,+1.6724253647e+01,-6.4955164531e+00
2.0000000000e+01,+1.2791253571e+01,+1.1444465264e+01,-1.0111889927e+01
2.0000000000e+01,-8.0965790698e+00,+1.7842709783e+01,-3.5951892800e+00
2.0000000000e+01,-1.0051408909e+00,-1.6982289064e+01,-1.0365028748e+01
2.0000000000e+01,+9.4518876077e+00,-1.1127900415e+01,+1.3552635316e+01
2.0000000000e+01,-8.2764653919e+00,+9.6903578826e+00,-1.5311412597e+01
2.0000000000e+01,-1.9833214856e+01,-6.6904914698e-01,+1.7430527023e+00
2.0000000000e+01,-1.8981319243e+01,+3.7886220525e+00,-4.7114895475e+00
2.0000000000e+01,-9.5855639095e+00,+1.4010641838e+01,-1.0424065945e+01
2.0000000000e+01,+1.8591035589e+01,+4.5824582008e+00,+5.4969758566e+00
2.0000000000e+01,+4.2064437633e+00,+1.0376276230e+01,+1.6476680293e+01
2.0000000000e+01,-6.1353182049e+00,-1.3106931880e+01,-1.3689721627e+01
2.0000000000e+01,-1.3236215479e+01,+1.3686350243e+01,+5.8590688509e+00
2.0000000000e+01,+1.6258773408e+01,-4.3049143980e+00,+1.0675311250e+01
2.0000000000e+01,-1.7239797035e+01,+8.9510987850e+00,+4.4169559346e+00
2.0000000000e+01,+1.8672759602e+01,+4.6100932170e+00,+5.1881943288e+00
2.0000000000e+01,+5.1970631583e+00,-1.2976979497e+01,+1.4192632196e+01
2.0000000000e+01,+1.3908221701e+01,-1.5621756808e+00,-1.4176150650e+01
