E (GeV), px (GeV), py (GeV), pz (GeV)
5.0000000000e+02,+2.0437860210e+02,+4.5308310312e+02,+5.4239569878e+01
5.0000000000e+02,-6.0766591354e+01,-4.7050503283e+02,-1.5789008116e+02
5.0000000000e+02,+3.5976049276e+00,-1.1222592470e+02,-4.8722606800e+02
5.0000000000e+02,-2.1332765589e+02,-4.4265554504e+02,+9.2434960634e+01
5.0000000000e+02,+2.2072314083e+02,+2.4379739510e+02,-3.7661780032e+02
5.0000000000e+02,-1.4414930798e+02,+1.6222809664e+02,+4.5044407415e+02
5.0000000000e+02,+2.4028442479e+02,-3.0014745860e+01,-4.3744639958e+02
5.0000000000e+02,-3.7222491923e+02,-3.0931537970e+02,+1.2557646140e+02
5.0000000000e+02,-1.4032362468e+02,-4.7988286397e+02,+4.3080732539e+00
5.0000000000e+02,-1.0451440689e+02,-7.9793180651e+01,+4.8239675511e+02
5.0000000000e+02,-3.3811452293e+02,-3.5520385180e+02,+9.7496847771e+01
5.0000000000e+02,+4.2178846319e+01,-7.1143902590e+01,-4.9310884429e+02
5.0000000000e+02,+2.1161737650e+01,-8.3243652757e+01,-4.9256422668e+02
5.0000000000e+02,-3.5479597013e+02,-3.4971951028e+02,+4.2578468456e+01
5.0000000000e+02,+9.5567701971e+01,+3.0013217633e+02,-3.8830958441e+02
5.0000000000e+02,-4.7213225384e+02,+1.9290009338e+01,+1.6344990884e+02
5.0000000000e+02,-4.6861273846e+02,+2.5761607962e+01,+1.7243921589e+02
5.0000000000e+02,-4.7055541905e+02,+1.6883282771e+02,-8.3615884753e+00
5.0000000000e+02,+1.3039228398e+02,-5.3807062789e+01,+4.7968687135e+02
5.0000000000e+02,+2.0726181290e+02,+5.3299898512e+01,+4.5188328582e+02
5.0000000000e+02,-4.5413072856e+02,+1.7554750783e+02,-1.1377695789e+02
5.0000000000e+02,-3.6042972134e+02,+3.3752168628e+02,+7.8526234729e+01
5.0000000000e+02,-3.3264518944e+02,-2.9486488647e+02,-2.2890766466e+02
5.0000000000e+02,+2.5150183983e+02,+2.0078588074e+02,-3.8266002787e+02
5.0000000000e+02,-2.4959724032e+02,-4.0400983934e+02,+1.5644203276e+02
5.0000000000e+02,+2.3187740187e+02,+1.3383082240e+02,+4.2227837234e+02
5.0000000000e+02,-4.2428095707e+02,+2.6053271440e+02,+4.5882638021e+01
5.0000000000e+02,-1.5168259967e+02,-8.0787576785e+01,+4.6953444886e+02
5.0000000000e+02,+3.7793823031e+00,+4.8912309061e+02,-1.0363957148e+02
5.0000000000e+02,-4.2040848902e+02,-2.5115019209e+02,-1.0088174090e+02
5.0000000000e+02,+1.9365776540e+02,+2.5283946859e+02,+3.8544223340e+02
5.0000000000e+02,-4.2807355330e+02,-4.9366907980e+01,-2.5359965226e+02
5.0000000000e+02,+1.4666623289e+02,-4.5559420807e+02,+1.4463670342e+02
5.0000000000e+02,-9.8257365590e+01,-4.8652718388e+02,+6.0279612880e+01
5.0000000000e+02,+9.0041905618e+01,+1.3104667582e+02,-4.7404226210e+02
5.0000000000e+02,-1.6158141935e+02,-4.5554419202e+02,-1.2793661052e+02
5.0000000000e+02,+1.0999222262e+02,-1.3825515246e+02,+4.6774359007e+02
5.0000000000e+02,-2.0430630424e+02,+4.5588039191e+02,+2.0708563196e+01
5.0000000000e+02,+1.5362735395e+02,-9.1041584070e+01,+4.6701917344e+02
5.0000000000e+02,-2.7552859860e+02,+2.1275668253e+01,-4.1668714831e+02
5.0000000000e+02,+1.7419855923e+02,-4.6503797995e+02,+5.8235568483e+01
