E (GeV), px (GeV), py (GeV), pz (GeV)
5.0000000000e+02,+0.0000000000e+00,+0.0000000000e+00,+5.0000000000e+02
5.0000000000e+02,+0.0000000000e+00,+0.0000000000e+00,+5.0000000000e+02
5.0000000000e+02,+0.0000000000e+00,+0.0000000000e+00,+5.0000000000e+02
5.0000000000e+02,+0.0000000000e+00,+0.0000000000e+00,+5.0000000000e+02
5.0000000000e+02,+0.0000000000e+00,+0.0000000000e+00,+5.0000000000e+02
5.0000000000e+02,+0.0000000000e+00,+0.0000000000e+00,+5.0000000000e+02
5.0000000000e+02,+0.0000000000e+00,+0.0000000000e+00,+5.0000000000e+02
5.0000000000e+02,+0.0000000000e+00,+0.0000000000e+00,+5.0000000000e+02
5.0000000000e+02,+0.0000000000e+00,+0.0000000000e+00,+5.0000000000e+02
5.0000000000e+02,+0.0000000000e+00,+0.0000000000e+00,+5.0000000000e+02
5.0000000000e+02,+0.0000000000e+00,+0.0000000000e+00,+5.0000000000e+02
5.0000000000e+02,+0.0000000000e+00,+0.0000000000e+00,+5.0000000000e+02
5.0000000000e+02,+0.0000000000e+00,+0.0000000000e+00,+5.0000000000e+02
5.0000000000e+02,+0.0000000000e+00,+0.0000000000e+00,+5.0000000000e+02
5.0000000000e+02,+0.0000000000e+00,+0.0000000000e+00,+5.0000000000e+02
5.0000000000e+02,+0.0000000000e+00,+0.0000000000e+00,+5.0000000000e+02
5.0000000000e+02,+0.0000000000e+00,+0.0000000000e+00,+5.0000000000e+02
5.0000000000e+02,+0.0000000000e+00,+0.0000000000e+00,+5.0000000000e+02
5.0000000000e+02,+0.0000000000e+00,+0.0000000000e+00,+5.0000000000e+02
5.0000000000e+02,+0.0000000000e+00,+0.0000000000e+00,+5.0000000000e+02
5.0000000000e+02,+0.0000000000e+00,+0.0000000000e+00,+5.0000000000e+02
5.0000000000e+02,+0.0000000000e+00,+0.0000000000e+00,+5.0000000000e+02
5.0000000000e+02,+0.0000000000e+00,+0.0000000000e+00,+5.0000000000e+02
5.0000000000e+02,+0.0000000000e+00,+0.0000000000e+00,+5.0000000000e+02
5.0000000000e+02,+0.0000000000e+00,+0.0000000000e+00,+5.0000000000e+02
5.0000000000e+02,+0.0000000000e+00,+0.0000000000e+00,+5.0000000000e+02
5.0000000000e+02,+0.0000000000e+00,+0.0000000000e+00,+5.0000000000e+02
5.0000000000e+02,+0.0000000000e+00,+0.0000000000e+00,+5.0000000000e+02
5.0000000000e+02,+0.0000000000e+00,+0.0000000000e+00,+5.0000000000e+02
5.0000000000e+02,+0.0000000000e+00,+0.0000000000e+00,+5.0000000000e+02
5.0000000000e+02,+0.0000000000e+00,+0.0000000000e+00,+5.0000000000e+02
5.0000000000e+02,+0.0000000000e+00,+0.0000000000e+00,+5.0000000000e+02
5.0000000000e+02,+0.0000000000e+00,+0.0000000000e+00,+5.0000000000e+02
5.0000000000e+02,+0.0000000000e+00,+0.0000000000e+00,+5.0000000000e+02
5.0000000000e+02,+0.0000000000e+00,+0.0000000000e+00,+5.0000000000e+02
5.0000000000e+02,+0.0000000000e+00,+0.0000000000e+00,+5.0000000000e+02
5.0000000000e+02,+0.0000000000e+00,+0.0000000000e+00,+5.0000000000e+02
5.0000000000e+02,+0.0000000000e+00,+0.0000000000e+00,+5.0000000000e+02
5.0000000000e+02,+0.0000000000e+00,+0.0000000000e+00,+5.0000000000e+02
5.0000000000e+02,+0.0000000000e+00,+0.0000000000e+00,+5.0000000000e+02
5.0000000000e+02,+0.0000000000e+00,+0.0000000000e+00,+5.0000000000e+02
5.0000000000e+02,+0.0000000000e+00,+0.0000000000e+00,+5.0000000000e+02
5.0000000000e+02,+0.0000000000e+00,+0.0000000000e+00,+5.0000000000e+02
5.0000000000e+02,+0.0000000000e+00,+0.0000000000e+00,+5.0000000000e+02
5.0000000000e+02,+0.0000000000e+00,+0.0000000000e+00,+5.0000000000e+02
5.0000000000e+02,+0.0000000000e+00,+0.0000000000e+00,+5.0000000000e+02
5.0000000000e+02,+0.0000000000e+00,+0.0000000000e+00,+5.0000000000e+02
5.0000000000e+02,+0.0000000000e+00,+0.0000000000e+00,+5.0000000000e+02
