cross section (pb), uncertainty (pb)
0.006971,9.3e-06
0.01116,1.2e-05
0.007902,8.5e-06
0.008368,9.6e-06
0.008819,9.6e-06
0.009277,9.1e-06
0.00975,1e-05
0.01021,1.2e-05
0.01602,1.8e-05
0.01114,1.2e-05
0.0116,7.7e-06
0.01204,1.4e-05
0.01255,1.4e-05
0.01952,9.2e-06
0.0202,2.1e-05
0.01393,1e-05
0.0216,1.5e-05
0.02227,2.6e-05
0.02297,2.6e-05
0.02364,2.5e-05
