CM energy per beam (GeV)
100.000000005
100.000050984841
100.00020192521961
100.00045282749377
100.00080369392074
100.0012545276572
100.00180533275922
100.00245611418248
100.00320687778239
100.00405763031411
100.00500837943285
100.00605913369402
100.00720990255347
100.00846069636762
100.00981152639388
100.01126240479077
100.01281334461834
100.01446435983846
100.01621546531516
100.01806667681504
100.02001801100755
100.02206948546556
100.02422111866578
100.02647292998903
100.02882493972098
100.03127716905252
100.03382964008026
100.03648237580724
100.03923540014337
100.04208873790601
100.04504241482068
100.04809645752175
100.05125089355292
100.05450575136805
100.0578610603319
100.06131685072077
100.0648731537233
100.06853000144122
100.07228742689031
100.07614546400102
100.08010414761937
100.08416351350802
100.08832359834685
100.0925844397342
100.09694607618755
100.10140854714469
100.10597189296459
100.11063615492847
100.11540137524084
100.12026759703052
