cross section (pb), uncertainty (pb)
0.006981,1.5e-05
0.01118,1.9e-05
0.007913,1.3e-05
0.00838,1.4e-05
0.008831,1.5e-05
0.00928,1.3e-05
0.009747,1.6e-05
0.0102,1.8e-05
0.01602,2.8e-05
0.01114,1.7e-05
0.0116,9.7e-06
0.01207,2.4e-05
0.01256,2.2e-05
0.01954,1.5e-05
0.02023,3.5e-05
0.01392,1.2e-05
0.02161,2.2e-05
0.02221,4.2e-05
0.023,4.1e-05
0.02363,3.9e-05
