cross section (pb), uncertainty (pb)
0.006543,1.9e-05
0.009829,2.2e-05
0.006553,1.3e-05
0.006563,1.4e-05
0.006552,1.6e-05
0.00654,1.5e-05
0.006549,9.3e-06
0.006561,1.6e-05
0.009841,2.5e-05
0.00656,1.6e-05
0.006534,6.9e-06
0.006538,1.7e-05
0.006567,1.7e-05
0.009834,1.1e-05
0.006542,2.4e-05
0.006539,7.6e-06
0.00655,1.6e-05
0.006543,2.2e-05
0.006553,1.1e-05
0.006513,1.5e-05
0.009842,2.2e-05
0.006536,1.6e-05
0.009821,3e-05
0.009818,2.4e-05
0.006546,1.4e-05
0.006556,1.6e-05
0.006524,1.8e-05
0.00982,1.5e-05
0.00653,1.6e-05
0.006543,1.1e-05
0.006554,1.7e-05
0.006542,1.4e-05
0.006557,7.1e-06
0.006518,1.7e-05
0.006554,1.8e-05
0.006563,1.1e-05
0.006547,1e-05
0.006528,1.4e-05
0.006551,7.4e-06
0.00654,1.4e-05
