cross section (pb), uncertainty (pb)
0.006543,1.9e-05
0.00989,2.2e-05
0.006636,1.5e-05
0.006679,1.5e-05
0.006703,1.6e-05
0.006742,1.5e-05
0.006786,1e-05
0.006837,1.7e-05
0.01031,2.6e-05
0.006918,1.6e-05
0.00693,7.3e-06
0.006974,1.8e-05
0.007052,1.7e-05
0.01062,1.2e-05
0.007108,2.5e-05
0.007141,8.5e-06
0.007195,2e-05
0.007236,2.3e-05
0.007277,1.3e-05
0.007287,1.6e-05
0.01108,2.5e-05
0.007397,1.8e-05
0.01119,3.5e-05
0.01124,2.8e-05
0.00752,1.6e-05
0.007598,1.8e-05
0.007608,2.1e-05
0.01151,1.9e-05
0.007695,1.9e-05
0.007762,1.2e-05
0.007808,2.1e-05
0.007834,1.5e-05
0.007913,9.1e-06
0.007916,2.1e-05
0.007997,2.2e-05
0.008055,1.8e-05
0.008091,1.2e-05
0.008121,1.7e-05
0.008193,9e-06
0.008226,1.7e-05
