cross section (pb), uncertainty (pb)
3.285e-05,1.6e-08
6.977e-05,6.6e-08
5.689e-05,4e-08
8.675e-05,7.6e-08
0.0001272,1.4e-07
0.0001829,2.1e-07
0.0003944,2.3e-07
0.0003771,3e-07
0.0005416,5.7e-07
0.0007801,7.5e-07
0.001122,1.2e-06
0.001613,1.5e-06
0.002321,1.4e-06
