cross section (pb), uncertainty (pb)
0.0002129,2.6e-07
0.0004562,4.4e-07
0.0004383,4.5e-07
0.0006315,7.5e-07
0.0009075,9.9e-07
0.001307,1.5e-06
0.001877,1.9e-06
0.002705,3e-06
0.005842,6e-06
0.005598,4.1e-06
0.008054,4.1e-06
0.01157,1.4e-05
0.02503,2e-05
0.036,2.6e-05
0.05175,4.1e-05
0.07449,4.8e-05
0.1072,9.5e-05
0.1536,0.0002
0.2209,0.00034
0.3154,0.00032
